Date,Particulars,Voucher Type,Narration,Gross Total,Purchase
08-01-2025,3130-Er.Rajaram-Shedwork,Purchase,national hardwares,-81671.93,-81671.93
08-01-2025,3130-Er.Rajaram-Shedwork,Purchase,auto rent,-160,-160
09-01-2025,3130-Er.Rajaram-Shedwork,Purchase,"pandian & co/11/2X5/8 Bed bolt/10kg best arc welding rod/turperntine oil-5 ltr/thinner/baniyan waste/4""cutting wheel/4""patti blade/4""grinding wheel",-3644,-3644
09-01-2025,3130-Er.Rajaram-Shedwork,Purchase,labour,-3081.35,-3081.35
10-01-2025,3130-Er.Rajaram-Shedwork,Purchase,Meenakshi metal,-3994.3,-3994.3
10-01-2025,3130-Er.Rajaram-Shedwork,Purchase,labour,-2535.57,-2535.57
11-01-2025,3130-Er.Rajaram-Shedwork,Purchase,labour,-3188.75,-3188.75
11-01-2025,3130-Er.Rajaram-Shedwork,Purchase,labour,-600,-600
12-01-2025,3130-Er.Rajaram-Shedwork,Purchase,labour,-1530.63,-1530.63
13-01-2025,3130-Er.Rajaram-Shedwork,Purchase,labour,-2811.25,-2811.25
