"Date","Particulars","Voucher Type","Narration","Gross Total","Purchase"
"17-09-2024","3092-NK Solutions-Nava India","Purchase","crane","-5970.0","-5970.0"
"17-09-2024","3092-NK Solutions-Nava India","Purchase","bhaarth/satveer","-2200.0","-2200.0"
"17-09-2024","3092-NK Solutions-Nava India","Purchase","labour","-2355.0","-2355.0"
"18-09-2024","3092-NK Solutions-Nava India","Purchase","auto rent/tg","-313.0","-313.0"
"18-09-2024","3092-NK Solutions-Nava India","Purchase","bharath/satveer","-2325.0","-2325.0"
"18-09-2024","3092-NK Solutions-Nava India","Purchase","labour","-2655.0","-2655.0"
"21-09-2024","3092-NK Solutions-Nava India","Purchase","auto rent/tg","-180.0","-180.0"
"23-09-2024","3092-NK Solutions-Nava India","Purchase","viji masion","-2000.0","-2000.0"
"25-09-2024","3092-NK Solutions-Nava India","Purchase","surveyer amount","-3500.0","-3500.0"
"28-09-2024","3092-NK Solutions-Nava India","Purchase","viji masion","-2000.0","-2000.0"
"02-11-2024","3092-NK Solutions-Nava India","Purchase","ashok site exp/","-1128.0","-1128.0"
"13-11-2024","3092-NK Solutions-Nava India","Purchase","r.k.traders","-3700.0","-3700.0"
"13-11-2024","3092-NK Solutions-Nava India","Purchase","pooja kannan","-3700.0","-3700.0"
"14-11-2024","3092-NK Solutions-Nava India","Purchase","R.K.TRADERS","-8000.0","-8000.0"
"16-11-2024","3092-NK Solutions-Nava India","Purchase","viji masion","-3200.0","-3200.0"
"16-11-2024","3092-NK Solutions-Nava India","Purchase","bannari amman","-25020.0","-25020.0"
"16-11-2024","3092-NK Solutions-Nava India","Purchase","bannari amman","-4950.0","-4950.0"
"16-11-2024","3092-NK Solutions-Nava India","Purchase","BANNARI AMMAN","-3550.0","-3550.0"
"18-11-2024","3092-NK Solutions-Nava India","Purchase","labour","-500.0","-500.0"
"18-11-2024","3092-NK Solutions-Nava India","Purchase","lal babu","-500.0","-500.0"
"19-11-2024","3092-NK Solutions-Nava India","Purchase","lorry keel","-180.0","-180.0"
"19-11-2024","3092-NK Solutions-Nava India","Purchase","labour","-985.0","-985.0"
"19-11-2024","3092-NK Solutions-Nava India","Purchase","lal babu","-1125.0","-1125.0"
"23-11-2024","3092-NK Solutions-Nava India","Purchase","viji masion","-4400.0","-4400.0"
"02-12-2024","3092-NK Solutions-Nava India","Purchase","pioneer steels/12mm tmt=218 nos/8mm tmt=300 nos","-265190.0","-265190.0"
"03-12-2024","3092-NK Solutions-Nava India","Purchase","Ashok site exp","-702.0","-702.0"
"05-12-2024","3092-NK Solutions-Nava India","Purchase","bg flyash bricks","-25200.0","-25200.0"
"05-12-2024","3092-NK Solutions-Nava India","Purchase","bannari amman","-5775.0","-5775.0"
"06-12-2024","3092-NK Solutions-Nava India","Purchase","PR READYMIX","-24300.0","-24300.0"
"06-12-2024","3092-NK Solutions-Nava India","Purchase","pr readymix","-21600.0","-21600.0"
"06-12-2024","3092-NK Solutions-Nava India","Purchase","bannari amman","-19425.0","-19425.0"
"07-12-2024","3092-NK Solutions-Nava India","Purchase","marking work-","-7000.0","-7000.0"
"07-12-2024","3092-NK Solutions-Nava India","Purchase","viji masion","-4000.0","-4000.0"
"07-12-2024","3092-NK Solutions-Nava India","Purchase","pile foundation/86 nosx8'0""=688x110","-75680.0","-75680.0"
"07-12-2024","3092-NK Solutions-Nava India","Purchase","bannari amman","-9900.0","-9900.0"
"10-12-2024","3092-NK Solutions-Nava India","Purchase","p.m.steels","-2325.0","-2325.0"
"11-12-2024","3092-NK Solutions-Nava India","Purchase","viji breaker","-1850.0","-1850.0"
"13-12-2024","3092-NK Solutions-Nava India","Purchase","BOLDER STONE","-4500.0","-4500.0"
"14-12-2024","3092-NK Solutions-Nava India","Purchase","viji masion","-16500.0","-16500.0"
"17-12-2024","3092-NK Solutions-Nava India","Purchase","pandian & co","-13140.0","-13140.0"
"17-12-2024","3092-NK Solutions-Nava India","Purchase","manickam traders/round cable/level tube/wire cutter/marker/nylon toine","-1670.0","-1670.0"
"17-12-2024","3092-NK Solutions-Nava India","Purchase","labour","-4060.63","-4060.63"
"17-12-2024","3092-NK Solutions-Nava India","Purchase","bharath/lal babu/hindi","-3000.0","-3000.0"
"19-12-2024","3092-NK Solutions-Nava India","Purchase","labour","-1255.0","-1255.0"
"19-12-2024","3092-NK Solutions-Nava India","Purchase","lal babu","-1000.0","-1000.0"
"21-12-2024","3092-NK Solutions-Nava India","Purchase","viji masion","-2000.0","-2000.0"
"21-12-2024","3092-NK Solutions-Nava India","Purchase","pr readymix","-27000.0","-27000.0"
"21-12-2024","3092-NK Solutions-Nava India","Purchase","Pr ready mix","-27000.0","-27000.0"
"23-12-2024","3092-NK Solutions-Nava India","Purchase","calverite enterprises","-23010.0","-23010.0"
"23-12-2024","3092-NK Solutions-Nava India","Purchase","CALVERITE ENTERPRISES","-23010.0","-23010.0"
